# Time     Error        Bytes 1-13
#
1358287600.216451,0,3d,a0,d9,ff,08,41,90,03,16,03,28,62,10
1358287600.263942,0,19,20,ff,fd,07,84,12,bc,07,00,41,00,00
1358287600.311453,0,56,00,d9,ff,08,5f,9e,0b,25,00,00,00,00
1358287600.359426,0,7d,20,ff,fd,08,00,00,00,00,00,00,00,00
1358287600.407431,0,40,00,d9,ff,04,00,00,00,00,00,fa,c5,00
1358287600.455534,0,33,a0,ff,fd,08,c0,00,3f,fd,00,11,23,ff
1358287600.506602,0,58,60,d9,ff,06,08,0f,06,64,07,66,94,66
1358287600.554718,0,56,00,ff,fd,08,60,f8,0b,2b,00,00,00,00
1358287600.603183,0,32,20,d9,ff,08,06,e2,06,e2,06,e2,00,00
1358287600.650819,0,40,00,ff,fd,04,00,00,00,00,00,fa,c5,00
1358287600.698701,0,3e,60,d9,ff,02,80,80,00,00,00,00,00,00
1358287600.746406,0,5f,20,ff,fd,05,e8,00,00,00,00,00,3f,00
1358287600.794429,0,18,a0,d9,ff,08,00,00,00,00,00,00,00,00
1358287600.842420,0,1f,20,ff,fd,08,00,00,40,00,00,00,00,ff
1358287600.890423,0,32,20,d9,ff,08,06,e5,06,e5,06,db,00,00
1358287600.938411,0,79,20,ff,fd,08,07,66,00,00,00,00,00,00
1358287600.987454,0,69,00,d9,ff,04,00,03,00,03,00,00,3f,00
1358287601.034383,0,1e,20,ff,fd,04,16,ff,00,80,00,fa,c3,00
1358287601.082383,0,99,20,d9,ff,06,40,3c,00,00,00,00,00,ff
1358287601.130399,0,33,20,ff,fd,08,0f,ff,0f,ff,f0,01,00,ff
1358287601.178433,0,70,80,d9,ff,08,08,00,0c,d7,96,95,e2,02
1358287601.226408,0,3d,60,ff,fd,02,01,8d,a0,0a,00,41,00,00
1358287601.274395,0,18,a0,d9,ff,08,00,00,00,00,00,00,00,00
1358287601.322392,0,90,80,ff,fd,06,01,10,01,10,01,11,b3,ff
1358287601.370799,0,92,20,d9,ff,08,80,33,17,0c,00,00,00,ad
1358287601.418656,0,33,e0,ff,fd,07,01,f4,02,ff,ff,00,12,ff
1358287601.466408,0,3d,a0,d9,ff,08,41,90,03,0c,03,18,64,05
1358287601.514409,0,18,a0,ff,fd,08,00,00,00,00,00,00,00,00
1358287601.562385,0,50,80,d9,ff,07,00,9b,e6,0f,fd,01,12,00
1358287601.610418,0,40,40,ff,fd,08,00,00,00,00,00,00,00,00
1358287601.658440,0,40,00,d9,ff,04,00,00,00,00,00,fa,c5,00
1358287601.706403,0,56,80,ff,fd,06,30,05,81,98,b0,91,00,ff
1358287601.754395,0,18,a0,d9,ff,08,00,00,00,00,00,00,00,00
1358287601.802417,0,38,60,ff,fd,05,06,dc,06,da,00,dc,00,00
