# Time     Error        Bytes 1-13
#
1358304959.563813,0,background,3e,a0,d9,7f,07,0f,01,00,01,00,00,00,ff
1358304959.611810,0,background,92,20,ff,fd,08,c0,33,6d,0c,00,00,00,b3
1358304959.659821,0,background,54,00,d9,7f,08,06,00,00,01,00,00,87,66
1358304959.707839,0,background,1e,20,ff,fd,04,1c,bf,00,00,00,00,00,00
1358304959.755816,0,background,69,40,d9,7f,04,00,03,00,03,00,00,3f,b3
1358304959.803834,0,background,50,80,ff,fd,07,00,9d,15,10,18,00,e0,00
1358304959.852062,0,background,33,e0,d9,7f,07,01,f4,02,ff,ff,00,12,ff
1358304959.899716,0,background,1e,20,ff,fd,04,00,bf,00,00,01,08,75,9a
1358304959.947819,0,background,3d,a0,d9,7f,08,41,2c,01,09,01,08,75,9a
1358304959.994797,0,background,19,20,ff,fd,07,84,0b,c9,07,00,40,00,b3
1358304960.042830,0,background,50,80,d9,7f,07,00,9a,84,10,13,01,40,00
1358304960.090704,0,background,3d,60,ff,fd,02,01,27,00,01,00,00,00,ff
1358304960.138841,0,background,7a,20,d9,7f,08,10,16,80,00,00,29,00,00
1358304960.186876,0,background,56,00,ff,fd,08,5d,85,07,15,00,00,00,00
1358304960.235255,0,background,69,00,d9,7f,04,00,03,00,03,00,00,87,66
1358304960.282794,0,background,26,80,ff,fd,04,00,00,10,00,b2,72,1f,ff
1358304960.330837,0,background,1e,20,d9,7f,04,34,bf,00,00,f9,06,94,00
1358304960.378902,0,background,40,40,ff,fd,08,00,00,00,00,00,00,00,00
1358304960.426803,0,background,7d,a0,d9,7f,08,80,00,00,00,00,ff,00,00
1358304960.474662,0,background,33,20,ff,fd,08,4f,ff,0f,ff,f0,00,00,ff
1358304960.522889,0,background,3d,a0,d9,7f,08,41,2c,01,1a,01,10,75,9a
1358304960.570756,0,background,19,20,ff,fd,07,84,0b,c7,0d,00,40,00,00
1358304960.618804,0,background,1e,20,d9,7f,04,00,bf,00,00,00,00,3f,b3
1358304960.666884,0,background,56,00,ff,fd,08,5d,f6,07,39,00,00,00,00
1358304960.714780,0,background,38,e0,d9,7f,07,06,a0,39,60,00,00,3f,b3
1358304960.762805,0,background,1f,20,ff,fd,08,00,00,40,00,00,00,00,ff
1358304960.810839,0,background,92,20,d9,7f,08,c0,33,6d,0c,00,00,00,b3
1358304960.858811,0,background,19,20,ff,fd,07,84,0b,c7,0a,00,40,00,b3
1358304960.907017,0,background,56,00,d9,7f,08,5b,23,06,fe,00,00,00,00
1358304960.954820,0,background,38,e0,ff,fd,07,06,a0,39,60,00,00,3f,b3
1358304961.002843,0,background,50,80,d9,7f,07,00,9c,dd,10,08,01,2b,ff
1358304961.050793,0,background,33,e0,ff,fd,07,01,f4,02,ff,ff,00,12,ff
1358304961.098875,0,background,1e,20,d9,7f,04,00,bf,00,00,01,10,75,9a
1358304961.146898,0,background,40,00,ff,fd,04,00,00,00,00,5b,00,93,00
1358304961.194831,0,background,30,80,d9,7f,06,00,00,00,00,00,00,cf,b3
1358304961.242697,0,background,3c,20,ff,fd,04,00,fe,16,00,00,00,00,00
1358304961.290693,0,background,79,20,d9,7f,08,07,66,00,00,00,00,00,00
1358304961.339064,0,background,40,00,ff,fd,04,00,00,00,00,00,0a,75,ff
1358304961.386802,0,background,a3,00,d9,7f,07,01,0b,01,0b,84,00,00,02
1358304961.434857,0,background,38,e0,ff,fd,07,06,a0,39,60,00,00,3f,b3
1358304961.482854,0,background,3c,20,d9,7f,04,00,fe,16,00,00,06,92,00
1358304961.530809,0,background,40,40,ff,fd,08,00,00,00,00,00,00,00,00
