"time","db0","db1","db2","db3","db4","db5","db6","db7"
1358389768.94006,1,1,21,0,196,0,0,0
1358389769.03536,1,1,21,0,196,0,0,0
1358389769.13135,1,1,21,0,196,0,0,0
1358389769.32334,1,1,21,0,196,0,0,0
1358389769.41946,1,1,21,0,196,0,0,0
1358389769.51541,1,1,21,0,196,0,0,0
1358389769.70740,1,1,21,0,196,0,0,0
1358389769.80355,1,1,21,0,196,0,0,0
1358389769.89928,1,1,21,0,196,0,0,0
1358389769.99588,1,1,21,0,196,0,0,0
1358389770.09129,1,1,21,0,196,0,0,0
1358389770.18811,1,1,21,0,196,0,0,0
1358389770.28325,1,1,21,0,196,0,0,64
1358389770.37966,1,1,21,0,196,0,0,64
1358389770.47537,1,1,21,0,196,0,0,64
1358389770.57135,1,1,21,0,196,0,0,64
1358389770.61979,1,1,21,0,196,0,0,64
1358389770.66738,1,1,21,0,196,0,0,64
1358389770.71567,1,1,21,0,196,0,0,64
1358389770.76329,1,1,21,0,196,0,0,64
1358389771.05135,1,1,21,0,196,0,0,64
1358389771.38635,1,1,21,0,196,0,0,64
1358389771.48262,1,1,21,0,196,0,0,64
1358389771.62699,1,1,21,0,196,0,0,64
1358389771.81844,1,1,21,0,196,0,0,0
1358389772.05832,1,1,21,0,196,0,0,0
1358389772.15432,1,1,21,0,196,0,0,0
1358389772.20239,1,1,21,0,196,0,0,0
1358389772.29836,1,1,21,0,196,0,0,0
1358389772.39434,1,1,21,0,196,0,0,0
1358389772.44239,1,1,21,0,196,0,0,0
1358389772.53849,1,1,21,0,196,0,0,0
1358389772.58641,1,1,21,0,196,0,0,0
1358389772.68220,1,1,21,0,196,0,0,0
1358389772.77877,1,1,21,0,196,0,0,0
1358389772.82634,1,1,21,0,196,0,0,0
1358389772.92233,1,1,21,0,196,0,0,0
1358389773.06633,1,1,21,0,196,0,0,0
1358389773.11429,1,1,21,0,196,0,0,0
1358389773.16234,1,1,21,0,196,0,0,0
1358389773.30633,1,1,21,0,196,0,0,0
1358389773.35474,1,1,21,0,196,0,0,0
1358389773.49862,1,1,21,0,196,0,0,0
1358389773.54632,1,1,21,0,196,0,0,0
1358389773.59452,1,1,21,0,196,0,0,0
1358389773.73835,1,1,21,0,196,0,0,0
1358389773.83429,1,1,21,0,196,0,0,0
1358389773.88238,1,1,21,0,196,0,0,0
1358389773.97849,1,1,21,0,196,0,0,0
1358389774.02632,1,1,21,0,196,0,0,0
1358389774.12228,1,1,21,0,196,0,0,0
1358389774.21867,1,1,21,0,196,0,0,0
1358389774.26631,1,1,21,0,196,0,0,0
1358389774.31438,1,1,21,0,196,0,0,0
1358389774.36234,1,1,21,0,196,0,0,0
1358389774.50634,1,1,21,0,196,0,0,0
1358389774.55373,1,1,21,0,196,0,0,0
1358389774.60136,1,1,21,0,196,0,0,0
1358389774.69733,1,1,21,0,196,0,0,0
1358389774.74543,1,1,21,0,196,0,0,0
1358389774.79333,1,1,21,0,196,0,0,0
1358389774.93729,241,1,21,0,196,0,0,0
1358389774.98532,241,1,21,0,196,0,0,0
1358389775.03401,241,1,21,0,196,0,0,0
1358389775.17726,241,1,21,0,196,0,0,0
1358389775.27321,241,1,21,0,196,0,0,0
1358389775.32163,241,1,21,0,196,0,0,0
1358389775.41730,241,1,21,0,196,0,0,0
1358389775.51328,241,1,21,0,172,0,0,0
1358389775.56137,241,1,21,0,156,0,0,0
1358389775.65732,241,1,21,0,134,0,0,0
1358389775.70548,241,1,21,0,125,0,0,0
1358389775.75333,241,1,21,0,116,0,0,0
1358389775.80148,241,1,21,0,111,0,0,0
1358389775.89727,241,1,21,0,103,0,0,0
1358389775.94537,241,1,21,0,102,0,0,0
1358389775.99333,241,1,21,0,101,0,0,0
1358389776.04135,241,1,21,0,100,0,0,0
1358389776.13732,241,1,21,0,99,0,0,0
1358389776.18532,241,1,21,0,99,0,0,0
1358389776.23336,241,1,21,0,99,0,0,0
1358389776.28139,241,1,21,0,99,0,0,0
1358389776.37730,241,1,21,0,99,0,0,0
1358389776.42534,241,1,21,0,99,0,0,0
1358389776.47333,241,1,21,0,99,0,0,0
1358389776.52130,241,1,21,0,99,0,0,0
1358389776.61729,241,1,21,0,99,0,0,0
1358389776.66557,241,1,21,0,99,0,0,0
1358389776.71348,241,1,21,0,99,0,0,0
1358389776.76130,241,1,21,0,99,0,0,0
1358389777.00143,241,1,21,0,99,0,0,0
1358389777.09732,241,1,21,0,99,0,0,0
1358389777.14542,241,1,21,0,99,0,0,0
1358389777.38428,241,1,21,0,99,0,0,0
1358389777.48062,241,1,21,0,99,0,0,0
1358389777.52847,241,1,21,0,99,0,0,0
1358389777.62429,241,1,21,0,99,0,0,0
1358389777.76844,16,0,226,0,99,0,0,0
1358389777.86440,16,0,226,0,99,0,0,0
1358389778.00828,16,0,226,0,99,0,0,0
1358389778.05660,16,0,226,0,99,0,0,0
1358389778.24841,16,0,226,0,99,0,0,0
1358389778.29630,16,0,226,0,99,0,0,0
1358389778.44030,16,0,226,0,113,0,0,0
1358389778.53622,16,0,226,0,125,0,0,0
1358389778.68064,16,0,226,0,148,0,0,0
1358389778.77639,16,0,226,0,159,0,0,0
1358389778.82461,16,0,226,0,165,0,0,0
1358389778.92027,16,0,226,0,169,0,0,0
1358389779.01628,16,0,226,0,196,0,0,0
1358389779.06454,16,0,226,0,196,0,0,0
1358389779.16035,16,0,226,0,196,0,0,0
1358389779.20830,16,0,226,0,196,0,0,0
1358389779.30439,16,0,226,0,196,0,0,0
1358389779.44831,16,0,226,0,196,0,0,0
1358389779.49630,16,0,226,0,196,0,0,0
1358389779.54439,16,0,226,0,196,0,0,0
1358389779.68823,16,0,226,0,196,0,0,0
1358389779.73624,16,0,226,0,196,0,0,0
1358389779.88034,16,0,226,0,196,0,0,0
1358389779.92831,16,0,226,0,196,0,0,0
1358389779.97513,16,0,226,0,196,0,0,0
1358389780.11928,16,0,226,0,196,0,0,0
1358389780.21580,16,0,226,0,196,0,0,0
1358389780.26330,16,0,226,0,196,0,0,0
1358389780.35941,16,0,226,0,196,0,0,0
1358389780.40746,16,0,226,0,196,0,0,0
1358389780.45551,240,1,21,0,196,0,0,0
1358389780.50331,240,1,21,0,196,0,0,0
1358389780.59941,240,1,21,0,196,0,0,0
1358389780.64775,240,1,21,0,196,0,0,0
1358389780.69514,240,1,21,0,171,0,0,0
1358389780.74343,240,1,21,0,152,0,0,0
1358389780.83926,240,1,21,0,124,0,0,0
1358389780.88728,240,1,21,0,114,0,0,0
1358389780.93538,240,1,21,0,106,0,0,0
1358389780.98334,240,1,21,0,101,0,0,0
1358389781.03125,240,1,21,0,99,0,0,0
1358389781.07927,240,1,21,0,99,0,0,0
1358389781.12789,240,1,21,0,99,0,0,0
1358389781.17526,240,1,21,0,99,0,0,0
1358389781.22346,240,1,21,0,99,0,0,0
1358389781.27127,240,1,21,0,99,0,0,0
1358389781.31930,240,1,21,0,99,0,0,0
1358389781.36744,240,1,21,0,99,0,0,0
1358389781.41529,240,1,21,0,99,0,0,0
1358389781.51136,240,1,21,0,99,0,0,0
1358389781.55924,240,1,21,0,99,0,0,0
1358389781.60725,240,1,21,0,99,0,0,0
1358389781.65527,240,1,21,0,99,0,0,0
1358389781.70326,240,1,21,0,99,0,0,0
1358389781.75128,240,1,21,0,99,0,0,0
1358389781.79916,240,1,21,0,99,0,0,0
1358389781.89530,240,1,21,0,99,0,0,0
1358389781.94325,240,1,21,0,99,0,0,0
1358389781.99157,240,1,21,0,99,0,0,0
1358389782.03927,240,1,21,0,99,0,0,0
1358389782.08722,240,1,21,0,99,0,0,0
1358389782.13557,240,1,21,0,99,0,0,0
1358389782.18330,240,1,21,0,99,0,0,0
1358389782.23161,240,1,21,0,99,0,0,0
1358389782.27932,240,1,21,0,99,0,0,0
1358389782.32726,240,1,21,0,99,0,0,0
1358389782.37528,240,1,21,0,99,0,0,0
1358389782.42326,240,1,21,0,99,0,0,0
1358389782.51927,240,1,21,0,99,0,0,0
1358389782.56797,240,1,21,0,99,0,0,0
1358389782.66331,240,1,21,0,99,0,0,0
1358389782.71152,240,1,21,0,99,0,0,0
1358389782.80626,240,1,21,0,99,0,0,0
1358389782.99830,240,1,21,0,99,0,0,0
1358389783.23824,240,1,21,0,99,0,0,0
1358389783.38242,240,1,21,0,99,0,0,0
1358389783.62253,240,1,21,0,99,0,0,0
1358389783.71826,240,1,21,0,99,0,0,0
1358389783.76663,240,1,21,0,99,0,0,0
1358389783.86255,240,1,21,0,99,0,0,0
1358389783.95828,240,1,21,0,99,0,0,0
1358389784.00625,240,1,21,0,99,0,0,0
1358389784.24627,240,1,21,0,99,0,0,0
1358389784.67828,240,1,21,0,99,0,0,0
1358389784.82224,240,1,21,0,99,0,0,0
1358389784.91833,240,1,21,0,99,0,0,0
1358389785.06224,240,1,21,0,99,0,0,0
1358389785.15839,240,1,21,0,99,0,0,0
1358389785.20624,240,1,21,0,99,0,0,0
1358389785.30251,240,1,21,0,99,0,0,0
1358389785.39823,240,1,21,0,99,0,0,0
1358389785.44656,240,1,21,0,99,0,0,0
1358389785.54227,240,1,21,0,99,0,0,0
1358389785.68624,240,1,21,0,99,0,0,0
1358389785.73430,240,1,21,0,99,0,0,0
1358389785.78224,240,1,21,0,99,0,0,0
1358389785.92611,240,1,21,0,99,0,0,0
1358389785.97327,240,1,21,0,99,0,0,0
1358389786.06949,240,1,21,0,99,0,0,0
1358389786.11741,240,1,21,0,99,0,0,0
1358389786.16509,240,1,21,0,99,0,0,0
1358389786.21325,240,1,21,0,99,0,0,0
1358389786.30955,240,1,21,0,99,0,0,0
1358389786.35722,240,1,21,0,99,0,0,0
1358389786.40527,240,1,21,0,99,0,0,0
1358389786.45354,240,1,21,0,99,0,0,0
1358389786.50110,240,1,21,0,99,0,0,0
1358389786.54922,240,1,21,0,99,0,0,0
1358389786.59746,240,1,21,0,99,0,0,0
1358389786.64526,240,1,21,0,99,0,0,0
1358389786.69321,240,1,21,0,99,0,0,0
1358389786.74123,240,1,21,0,99,0,0,0
1358389786.78910,240,1,21,0,99,0,0,0
1358389786.83722,240,1,21,0,99,0,0,0
1358389786.88526,240,1,21,0,99,0,0,0
1358389786.93355,240,1,21,0,99,0,0,0
1358389786.98141,240,1,21,0,99,0,0,0
1358389787.02919,240,1,21,0,99,0,0,0
1358389787.07802,240,1,21,0,99,0,0,0
1358389787.12519,240,1,21,0,99,0,0,0
1358389787.17323,240,1,21,0,99,0,0,0
1358389787.22128,240,1,21,0,99,0,0,0
1358389787.26910,240,1,21,0,99,0,0,0
1358389787.31775,240,1,21,0,99,0,0,0
1358389787.36512,240,1,21,0,99,0,0,0
1358389787.41574,240,1,21,0,99,0,0,0
1358389787.46113,240,1,21,0,99,0,0,0
1358389787.50921,240,1,21,0,99,0,0,0
1358389787.55711,240,1,21,0,99,0,0,0
1358389787.60518,240,1,21,0,99,0,0,0
1358389787.65314,240,1,21,0,99,0,0,0
1358389787.70123,240,1,21,0,99,0,0,0
1358389787.74932,240,1,21,0,99,0,0,0
1358389787.79721,240,1,21,0,99,0,0,0
1358389787.84520,240,1,21,0,99,0,0,0
1358389787.89311,240,1,21,0,99,0,0,0
1358389787.94115,240,1,21,0,99,0,0,0
1358389787.98922,240,1,21,0,99,0,0,0
1358389788.03721,240,1,21,0,99,0,0,0
1358389788.13349,240,1,21,0,99,0,0,0
1358389788.18141,240,1,21,0,99,0,0,0
1358389788.22923,240,1,21,0,99,0,0,0
1358389788.27721,240,1,21,0,99,0,0,0
1358389788.32539,240,1,21,0,99,0,0,0
1358389788.37309,240,1,21,0,99,0,0,0
1358389788.42117,240,1,21,0,99,0,0,0
1358389788.46981,240,1,21,0,99,0,0,0
1358389788.51749,240,1,21,0,99,0,0,0
1358389788.56508,240,1,21,0,99,0,0,0
1358389788.61315,240,1,21,0,99,0,0,0
1358389788.66149,240,1,21,0,99,0,0,0
1358389788.70909,240,1,21,0,99,0,0,0
1358389788.75728,240,1,21,0,99,0,0,0
1358389788.80551,240,1,21,0,99,0,0,0
1358389788.94909,240,1,21,0,99,0,0,0
1358389789.18933,240,1,21,0,99,0,0,0
1358389789.52411,240,1,21,0,99,0,0,0
1358389789.62021,240,1,21,0,99,0,0,0
1358389789.71614,240,1,21,0,99,0,0,0
1358389789.86023,240,1,21,0,99,0,0,0
1358389789.90821,240,1,21,0,99,0,0,0
1358389789.95625,240,1,21,0,99,0,0,0
1358389790.00406,240,1,21,0,99,0,0,0
1358389790.10045,240,1,21,0,99,0,0,0
1358389790.14825,240,1,21,0,99,0,0,0
1358389790.24550,240,1,21,0,99,0,0,0
1358389790.34019,240,1,21,0,99,0,0,0
1358389790.38819,240,1,21,0,99,0,0,0
1358389790.62821,240,1,21,0,99,0,0,0
1358389790.67740,240,1,21,0,99,0,0,0
1358389790.72433,240,1,21,0,99,0,0,0
1358389790.86824,240,1,21,0,99,0,0,0
1358389790.91615,240,1,21,0,99,0,0,0
1358389791.06036,240,1,21,0,99,0,0,0
1358389791.15633,240,1,21,0,99,0,0,0
1358389791.30059,240,1,21,0,99,0,0,0
1358389791.39611,240,1,21,0,99,0,0,0
1358389791.44409,240,1,21,0,99,0,0,0
1358389791.54019,240,1,21,0,99,0,0,0
1358389791.58821,240,1,21,0,99,0,0,0
1358389791.63650,240,1,21,0,99,0,0,0
1358389791.68406,240,1,21,0,99,0,0,0
1358389791.78021,240,1,21,0,99,0,0,0
1358389791.82812,240,1,21,0,99,0,0,0
1358389791.92423,240,1,21,0,99,0,0,0
1358389792.02008,240,1,21,0,99,0,0,0
1358389792.06907,240,1,21,0,99,0,0,0
1358389792.16433,240,1,21,0,99,0,0,0
1358389792.30805,240,1,21,0,99,0,0,0
1358389792.40428,240,1,21,0,99,0,0,0
1358389792.50083,240,1,21,0,99,0,0,0
1358389792.54819,240,1,21,0,99,0,0,0
1358389792.59614,240,1,21,0,99,0,0,0
1358389792.89922,240,1,21,0,99,0,0,0
1358389792.94726,240,1,21,0,99,0,0,0
